Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,18-29 years,,136,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,25-34 years,,180,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,30-49 years,13,449,11,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,35-44 years,,193,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,45-54 years,18,365,20,10,0,28,
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,50-64 years,73,"1,000",70,40,0,103,
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,55-64 years,62,778,56,32,0,86,
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,65-74 years,118,"1,268",113,57,,175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,75-84 years,159,"1,468",132,72,,222,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Male,85 years and over,137,"1,326",93,51,,180,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,All Ages,510,"5,430",413,192,14,745,
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,Under 1 year,0,28,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,0-17 years,0,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,5-14 years,0,10,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,15-24 years,,31,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,18-29 years,,43,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,25-34 years,,45,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,30-49 years,12,205,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,35-44 years,,110,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,45-54 years,20,195,16,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,50-64 years,55,660,57,28,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,55-64 years,40,533,42,22,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,65-74 years,71,993,89,32,,132,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,75-84 years,135,"1,379",121,59,,198,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Female,85 years and over,235,"2,102",134,67,,307,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,All Ages,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,Under 1 year,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,0-17 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,15-24 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,18-29 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,25-34 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,30-49 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,35-44 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,45-54 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,50-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,55-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,65-74 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,75-84 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Delaware,Unknown,85 years and over,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,All Sexes,All Ages,"1,067","7,680","1,387",979,12,"1,487",
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,All Ages,624,"4,235",787,572,,846,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,Under 1 year,,60,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,0-17 years,,104,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,1-4 years,0,14,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,5-14 years,0,14,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,15-24 years,0,104,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,18-29 years,,165,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,25-34 years,,191,13,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,30-49 years,55,513,66,50,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,35-44 years,26,256,29,24,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,45-54 years,68,386,79,65,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,50-64 years,165,"1,118",208,150,,224,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,55-64 years,122,875,159,108,,174,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,65-74 years,175,"1,015",228,165,,240,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,75-84 years,132,746,168,121,0,179,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Male,85 years and over,92,574,106,82,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,All Ages,443,"3,445",600,407,,641,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,Under 1 year,0,41,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,0-17 years,0,69,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,1-4 years,0,14,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,5-14 years,0,14,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,15-24 years,,22,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,18-29 years,,52,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,25-34 years,,69,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,30-49 years,19,235,30,19,0,30,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,35-44 years,,107,10,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,45-54 years,25,224,36,24,0,37,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,50-64 years,91,712,113,81,0,123,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,55-64 years,77,577,95,68,0,104,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,65-74 years,110,700,149,100,,160,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,75-84 years,89,670,122,81,0,130,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Female,85 years and over,130,"1,007",179,122,,188,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,All Ages,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,Under 1 year,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,0-17 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,15-24 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,18-29 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,25-34 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,30-49 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,35-44 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,45-54 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,50-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,55-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,65-74 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,75-84 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,District of Columbia,Unknown,85 years and over,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,All Sexes,All Ages,"24,826","257,936","28,109","14,565",488,"38,821",
02/03/2021,01/01/2020,01/30/2021,Florida,Male,All Ages,"14,088","138,272","16,089","8,587",252,"21,823",
02/03/2021,01/01/2020,01/30/2021,Florida,Male,Under 1 year,0,679,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Male,0-17 years,,"1,273",20,,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Male,1-4 years,0,143,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Male,5-14 years,,227,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Male,15-24 years,23,"1,731",32,,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Male,18-29 years,53,"3,147",78,23,,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Male,25-34 years,84,"3,661",127,47,,170,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Male,30-49 years,557,"10,124",595,320,29,860,
02/03/2021,01/01/2020,01/30/2021,Florida,Male,35-44 years,244,"4,839",261,131,10,384,
02/03/2021,01/01/2020,01/30/2021,Florida,Male,45-54 years,652,"8,271",688,377,30,991,
02/03/2021,01/01/2020,01/30/2021,Florida,Male,50-64 years,"2,172","24,678","2,442","1,300",60,"3,372",
02/03/2021,01/01/2020,01/30/2021,Florida,Male,55-64 years,"1,781","19,671","2,009","1,080",44,"2,754",
02/03/2021,01/01/2020,01/30/2021,Florida,Male,65-74 years,"3,394","29,697","3,900","2,123",56,"5,221",
02/03/2021,01/01/2020,01/30/2021,Florida,Male,75-84 years,"4,372","35,831","4,930","2,710",61,"6,648",
02/03/2021,01/01/2020,01/30/2021,Florida,Male,85 years and over,"3,537","33,522","4,124","2,110",35,"5,582",
02/03/2021,01/01/2020,01/30/2021,Florida,Female,All Ages,"10,738","119,646","12,020","5,978",236,"16,998",
02/03/2021,01/01/2020,01/30/2021,Florida,Female,Under 1 year,0,561,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Female,0-17 years,,905,19,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Female,1-4 years,0,105,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Female,5-14 years,,140,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Female,15-24 years,15,615,17,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Female,18-29 years,27,"1,179",51,14,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Female,25-34 years,53,"1,602",87,31,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Florida,Female,30-49 years,318,"5,580",411,181,31,579,
02/03/2021,01/01/2020,01/30/2021,Florida,Female,35-44 years,137,"2,678",186,72,13,264,
02/03/2021,01/01/2020,01/30/2021,Florida,Female,45-54 years,352,"4,972",438,200,21,610,
02/03/2021,01/01/2020,01/30/2021,Florida,Female,50-64 years,"1,186","15,085","1,537",685,43,"2,078",
02/03/2021,01/01/2020,01/30/2021,Florida,Female,55-64 years,976,"12,076","1,274",571,34,"1,711",
02/03/2021,01/01/2020,01/30/2021,Florida,Female,65-74 years,"2,051","20,380","2,407","1,213",52,"3,295",
02/03/2021,01/01/2020,01/30/2021,Florida,Female,75-84 years,"3,128","29,927","3,446","1,819",51,"4,803",
02/03/2021,01/01/2020,01/30/2021,Florida,Female,85 years and over,"4,022","46,590","4,149","2,064",51,"6,149",
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,All Ages,0,18,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,Under 1 year,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,0-17 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,15-24 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,18-29 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,25-34 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,30-49 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,35-44 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,45-54 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,50-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,55-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,65-74 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,75-84 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Florida,Unknown,85 years and over,0,18,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,All Sexes,All Ages,"11,582","106,107","10,377","5,829",198,"16,323",
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,All Ages,"6,174","54,899","5,669","3,234",97,"8,702",
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,Under 1 year,,364,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,0-17 years,,703,,0,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,1-4 years,,74,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,5-14 years,,144,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,15-24 years,16,902,16,,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,18-29 years,24,"1,547",33,,,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,25-34 years,48,"1,657",40,14,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,30-49 years,316,"4,817",262,141,14,449,
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,35-44 years,135,"2,234",116,58,,201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,45-54 years,391,"4,175",330,195,,535,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,50-64 years,"1,176","11,977","1,059",578,21,"1,678",
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,55-64 years,929,"9,494",853,455,16,"1,343",
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,65-74 years,"1,680","13,138","1,534",905,25,"2,333",
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,75-84 years,"1,824","13,240","1,726","1,027",17,"2,539",
02/03/2021,01/01/2020,01/30/2021,Georgia,Male,85 years and over,"1,146","9,477","1,047",577,13,"1,629",
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,All Ages,"5,408","51,208","4,708","2,595",101,"7,621",
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,Under 1 year,0,303,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,0-17 years,,519,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,1-4 years,0,69,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,5-14 years,,92,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,15-24 years,14,312,12,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,18-29 years,29,548,23,13,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,25-34 years,50,707,41,23,,70,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,30-49 years,233,"2,906",221,101,13,366,
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,35-44 years,97,"1,335",94,38,,159,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,45-54 years,244,"2,829",247,127,10,374,
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,50-64 years,805,"8,024",799,425,29,"1,208",
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,55-64 years,662,"6,350",650,346,24,990,
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,65-74 years,"1,192","10,084","1,054",590,25,"1,681",
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,75-84 years,"1,509","12,923","1,306",762,21,"2,074",
02/03/2021,01/01/2020,01/30/2021,Georgia,Female,85 years and over,"1,638","16,204","1,301",704,10,"2,244",
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,All Ages,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,Under 1 year,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,0-17 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,15-24 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,18-29 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,25-34 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,30-49 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,35-44 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,45-54 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,50-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,55-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,65-74 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,75-84 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Georgia,Unknown,85 years and over,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Hawaii,All Sexes,All Ages,382,"12,648",864,186,26,"1,086",
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,All Ages,234,"6,822",504,116,16,638,
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,Under 1 year,0,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,0-17 years,0,65,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,5-14 years,0,13,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,15-24 years,,72,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,18-29 years,,112,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,25-34 years,,135,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,30-49 years,10,503,18,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,35-44 years,,241,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,45-54 years,18,441,20,,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,50-64 years,52,"1,242",67,25,,96,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,55-64 years,37,977,54,20,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,65-74 years,67,"1,557",111,37,,144,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,75-84 years,53,"1,536",127,27,,159,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Hawaii,Male,85 years and over,48,"1,807",172,23,,201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
